usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,month,year,is_weekend,usage_cpu_lag_1,usage_storage_lag_1,users_active_lag_1,usage_cpu_lag_3,usage_storage_lag_3,users_active_lag_3,usage_cpu_lag_7,usage_storage_lag_7,users_active_lag_7,usage_cpu_rolling_mean_3,usage_storage_rolling_mean_3,users_active_rolling_mean_3,usage_cpu_rolling_mean_7,usage_storage_rolling_mean_7,users_active_rolling_mean_7,usage_cpu_rolling_std_3,usage_cpu_rolling_std_7,usage_storage_rolling_std_3,usage_storage_rolling_std_7,users_active_rolling_std_3,users_active_rolling_std_7,cpu_per_user,storage_per_user,cpu_storage_ratio,econ_demand_ratio,system_stress,cpu_utilization_ratio,storage_efficiency,region_East US,region_North Europe,region_Southeast Asia,region_West US,type_Container,type_Storage,type_VM
70,621,414,104.97,0.99,1,1,2023,1,70.0,621.0,414.0,70.0,621.0,414.0,70.0,621.0,414.0,71.0,1250.6666666666667,349.3333333333333,70.14285714285714,1361.5714285714287,358.57142857142856,14.52583904633395,13.933515606007594,687.9973352661574,503.29708163365336,112.0059522227874,94.18750296236605,0.16908212560386474,1.5,0.11272141706924316,106.03030303030303,69.3,0.7,0.3112781954887218,1,0,0,0,1,0,0
86,1146,220,106.48,1.15,0,1,2023,0,70.0,621.0,414.0,70.0,621.0,414.0,70.0,621.0,414.0,71.0,1250.6666666666667,349.3333333333333,70.14285714285714,1361.5714285714287,358.57142857142856,14.52583904633395,13.933515606007594,687.9973352661574,503.29708163365336,112.0059522227874,94.18750296236605,0.39090909090909093,5.209090909090909,0.07504363001745201,92.5913043478261,98.89999999999999,0.78,0.44285714285714284,1,0,0,0,1,0,0
57,1985,414,97.66,0.98,0,1,2023,0,86.0,1146.0,220.0,70.0,621.0,414.0,70.0,621.0,414.0,71.0,1250.6666666666667,349.3333333333333,70.14285714285714,1361.5714285714287,358.57142857142856,14.52583904633395,13.933515606007594,687.9973352661574,503.29708163365336,112.0059522227874,94.18750296236605,0.13768115942028986,4.794685990338165,0.02871536523929471,99.65306122448979,55.86,0.71,0.6269005847953216,1,0,0,0,1,0,0
57,1279,232,115.79,1.08,0,1,2023,0,57.0,1985.0,414.0,70.0,621.0,414.0,70.0,621.0,414.0,66.66666666666667,1470.0,288.6666666666667,70.14285714285714,1361.5714285714287,358.57142857142856,16.74315780649915,13.933515606007594,450.93347624677403,503.29708163365336,108.70755876816172,94.18750296236605,0.24568965517241378,5.512931034482759,0.044566067240031274,107.21296296296296,61.56,0.6749999999999999,0.6304511278195488,1,0,0,0,1,0,0
85,1024,359,95.31,1.05,0,1,2023,0,57.0,1279.0,232.0,86.0,1146.0,220.0,70.0,621.0,414.0,66.33333333333333,1429.3333333333333,335.0,70.14285714285714,1361.5714285714287,358.57142857142856,16.165807537309522,13.933515606007594,497.825605341201,503.29708163365336,93.34345183246653,94.18750296236605,0.23676880222841226,2.852367688022284,0.0830078125,90.77142857142857,89.25,0.71,0.6070175438596491,1,0,0,0,1,0,0
81,1995,432,95.37,0.95,0,1,2023,0,85.0,1024.0,359.0,57.0,1985.0,414.0,70.0,621.0,414.0,74.33333333333333,1432.6666666666667,341.0,70.14285714285714,1361.5714285714287,358.57142857142856,15.14375558880072,13.933515606007594,503.4087140021845,503.29708163365336,101.20770721639731,94.18750296236605,0.1875,4.618055555555555,0.0406015037593985,100.38947368421053,76.95,0.7266666666666666,0.672514619883041,1,0,0,0,1,0,0
55,1481,439,102.42,0.81,1,1,2023,1,81.0,1995.0,432.0,57.0,1279.0,232.0,70.0,621.0,414.0,73.66666666666667,1500.0,410.0,70.14285714285714,1361.5714285714287,358.57142857142856,16.289055630494147,13.933515606007594,485.7787562255063,503.29708163365336,44.30575583375144,94.18750296236605,0.1252847380410023,3.3735763097949887,0.03713706954760297,126.44444444444444,44.550000000000004,0.7014285714285714,0.6824919441460795,1,0,0,0,1,0,0
81,1514,208,82.75,0.94,1,1,2023,1,55.0,1481.0,439.0,85.0,1024.0,359.0,70.0,621.0,414.0,72.33333333333333,1663.3333333333333,359.6666666666667,71.71428571428571,1489.142857142857,329.14285714285717,15.011106998930263,14.522560445898025,287.70528902565064,383.12636234512695,131.39381010281016,105.48685316415592,0.3894230769230769,7.278846153846154,0.053500660501981503,88.03191489361703,76.14,0.7171428571428571,0.7464375223773719,1,0,0,0,1,0,0
97,1915,334,89.87,1.03,0,1,2023,0,81.0,1514.0,208.0,81.0,1995.0,432.0,86.0,1146.0,220.0,77.66666666666667,1636.6666666666667,327.0,73.28571428571429,1599.0,345.42857142857144,21.197484127446188,16.75026652239983,241.60780892457333,378.55911031171865,115.65898149300816,94.00329274881305,0.2904191616766467,5.733532934131737,0.05065274151436031,87.25242718446601,99.91,0.732857142857143,0.8015037593984963,1,0,0,0,1,0,0
86,779,380,90.92,0.86,0,1,2023,0,97.0,1915.0,334.0,55.0,1481.0,439.0,57.0,1985.0,414.0,88.0,1402.6666666666667,307.3333333333333,77.42857142857143,1426.7142857142858,340.57142857142856,8.185352771872425,15.597618865894688,576.1252757285807,442.61899126514146,89.0468041724875,90.68968545330307,0.22631578947368422,2.05,0.110397946084724,105.72093023255815,73.96,0.7742857142857142,0.7151450053705694,1,0,0,0,1,0,0
