date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,month,date_ind,year,is_weekend,day_of_week_name,usage_cpu_lag_1,usage_storage_lag_1,users_active_lag_1,usage_cpu_lag_3,usage_storage_lag_3,users_active_lag_3,usage_cpu_lag_7,usage_storage_lag_7,users_active_lag_7,usage_cpu_rolling_mean_3,usage_storage_rolling_mean_3,users_active_rolling_mean_3,usage_cpu_rolling_mean_7,usage_storage_rolling_mean_7,users_active_rolling_mean_7,usage_cpu_rolling_mean_30,usage_storage_rolling_mean_30,users_active_rolling_mean_30,usage_cpu_rolling_std_3,usage_cpu_rolling_std_7,usage_cpu_rolling_std_30,usage_storage_rolling_std_3,usage_storage_rolling_std_7,usage_storage_rolling_std_30,users_active_rolling_std_3,users_active_rolling_std_7,users_active_rolling_std_30,cpu_per_user,storage_per_user,cpu_storage_ratio,econ_demand_ratio,system_stress,cpu_utilization_ratio,storage_efficiency
2023-01-01,East US,Container,70,621,414,104.97,0.99,1,1,1,2023,True,Sunday,70.0,621.0,414.0,70.0,621.0,414.0,70.0,621.0,414.0,71.0,1250.6666666666667,349.3333333333333,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,14.52583904633395,13.933515606007594,15.470996223189083,687.9973352661574,503.29708163365336,487.4611449296159,112.0059522227874,94.18750296236605,93.11790202834749,0.16908212560386474,1.5,0.11272141706924316,106.03030303030303,69.3,0.7,0.3112781954887218
2023-01-02,East US,Container,86,1146,220,106.48,1.15,0,1,2,2023,False,Monday,70.0,621.0,414.0,70.0,621.0,414.0,70.0,621.0,414.0,71.0,1250.6666666666667,349.3333333333333,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,14.52583904633395,13.933515606007594,15.470996223189083,687.9973352661574,503.29708163365336,487.4611449296159,112.0059522227874,94.18750296236605,93.11790202834749,0.39090909090909093,5.209090909090909,0.07504363001745201,92.5913043478261,98.89999999999999,0.78,0.44285714285714284
2023-01-03,East US,Container,57,1985,414,97.66,0.98,0,1,3,2023,False,Tuesday,86.0,1146.0,220.0,70.0,621.0,414.0,70.0,621.0,414.0,71.0,1250.6666666666667,349.3333333333333,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,14.52583904633395,13.933515606007594,15.470996223189083,687.9973352661574,503.29708163365336,487.4611449296159,112.0059522227874,94.18750296236605,93.11790202834749,0.13768115942028986,4.794685990338165,0.02871536523929471,99.65306122448979,55.86,0.71,0.6269005847953216
2023-01-04,East US,Container,57,1279,232,115.79,1.08,0,1,4,2023,False,Wednesday,57.0,1985.0,414.0,70.0,621.0,414.0,70.0,621.0,414.0,66.66666666666667,1470.0,288.6666666666667,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,16.74315780649915,13.933515606007594,15.470996223189083,450.93347624677403,503.29708163365336,487.4611449296159,108.70755876816172,94.18750296236605,93.11790202834749,0.24568965517241378,5.512931034482759,0.044566067240031274,107.21296296296296,61.56,0.6749999999999999,0.6304511278195488
2023-01-05,East US,Container,85,1024,359,95.31,1.05,0,1,5,2023,False,Thursday,57.0,1279.0,232.0,86.0,1146.0,220.0,70.0,621.0,414.0,66.33333333333333,1429.3333333333333,335.0,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,16.165807537309522,13.933515606007594,15.470996223189083,497.825605341201,503.29708163365336,487.4611449296159,93.34345183246653,94.18750296236605,93.11790202834749,0.23676880222841226,2.852367688022284,0.0830078125,90.77142857142857,89.25,0.71,0.6070175438596491
2023-01-06,East US,Container,81,1995,432,95.37,0.95,0,1,6,2023,False,Friday,85.0,1024.0,359.0,57.0,1985.0,414.0,70.0,621.0,414.0,74.33333333333333,1432.6666666666667,341.0,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,15.14375558880072,13.933515606007594,15.470996223189083,503.4087140021845,503.29708163365336,487.4611449296159,101.20770721639731,94.18750296236605,93.11790202834749,0.1875,4.618055555555555,0.0406015037593985,100.38947368421053,76.95,0.7266666666666666,0.672514619883041
2023-01-07,East US,Container,55,1481,439,102.42,0.81,1,1,7,2023,True,Saturday,81.0,1995.0,432.0,57.0,1279.0,232.0,70.0,621.0,414.0,73.66666666666667,1500.0,410.0,70.14285714285714,1361.5714285714287,358.57142857142856,76.4,1203.3333333333333,343.76666666666665,16.289055630494147,13.933515606007594,15.470996223189083,485.7787562255063,503.29708163365336,487.4611449296159,44.30575583375144,94.18750296236605,93.11790202834749,0.1252847380410023,3.3735763097949887,0.03713706954760297,126.44444444444444,44.550000000000004,0.7014285714285714,0.6824919441460795
2023-01-08,East US,Container,81,1514,208,82.75,0.94,1,1,8,2023,True,Sunday,55.0,1481.0,439.0,85.0,1024.0,359.0,70.0,621.0,414.0,72.33333333333333,1663.3333333333333,359.6666666666667,71.71428571428571,1489.142857142857,329.14285714285717,76.4,1203.3333333333333,343.76666666666665,15.011106998930263,14.522560445898025,15.470996223189083,287.70528902565064,383.12636234512695,487.4611449296159,131.39381010281016,105.48685316415592,93.11790202834749,0.3894230769230769,7.278846153846154,0.053500660501981503,88.03191489361703,76.14,0.7171428571428571,0.7464375223773719
2023-01-09,East US,Container,97,1915,334,89.87,1.03,0,1,9,2023,False,Monday,81.0,1514.0,208.0,81.0,1995.0,432.0,86.0,1146.0,220.0,77.66666666666667,1636.6666666666667,327.0,73.28571428571429,1599.0,345.42857142857144,76.4,1203.3333333333333,343.76666666666665,21.197484127446188,16.75026652239983,15.470996223189083,241.60780892457333,378.55911031171865,487.4611449296159,115.65898149300816,94.00329274881305,93.11790202834749,0.2904191616766467,5.733532934131737,0.05065274151436031,87.25242718446601,99.91,0.732857142857143,0.8015037593984963
2023-01-10,East US,Container,86,779,380,90.92,0.86,0,1,10,2023,False,Tuesday,97.0,1915.0,334.0,55.0,1481.0,439.0,57.0,1985.0,414.0,88.0,1402.6666666666667,307.3333333333333,77.42857142857143,1426.7142857142858,340.57142857142856,76.4,1203.3333333333333,343.76666666666665,8.185352771872425,15.597618865894688,15.470996223189083,576.1252757285807,442.61899126514146,487.4611449296159,89.0468041724875,90.68968545330307,93.11790202834749,0.22631578947368422,2.05,0.110397946084724,105.72093023255815,73.96,0.7742857142857142,0.7151450053705694
